subject,subject_type,predicate,object,object_type,url
They,CONCEPT,share,information,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
information,CONCEPT,share,information,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
models,CONCEPT,build,models,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
risks,CONCEPT,mitigate,risks,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
companies,CONCEPT,share,information,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
information,CONCEPT,share,information,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
models,CONCEPT,deploy,models,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
transparency,CONCEPT,prioritize,transparency,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
Index,CONCEPT,see,dip,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
which,CONCEPT,track,transparency,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
transparency,CONCEPT,track,transparency,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
dip,CONCEPT,see,dip,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
work,CONCEPT,reveal,state,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
state,CONCEPT,reveal,state,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
indicators,CONCEPT,update,indicators,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
companies,CONCEPT,decrease,transparency,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
transparency,CONCEPT,decrease,transparency,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
edition,CONCEPT,include,companies,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
companies,CONCEPT,include,companies,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
Alibaba,ORG,include,companies,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
changes,CONCEPT,reflect,changes,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
changes,CONCEPT,reflect,changes,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
Meta,ORG,release,report,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
report,CONCEPT,release,report,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
card,CONCEPT,release,card,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
scrutiny,CONCEPT,prompt,scrutiny,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
documents,CONCEPT,release,documents,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
Index,ORG,score,companies,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
companies,CONCEPT,score,companies,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
Index,CONCEPT,clarify,terrain,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
terrain,CONCEPT,clarify,terrain,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
Each,CONCEPT,link,developers,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
developers,CONCEPT,link,developers,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
companies,CONCEPT,disclose,none,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
none,CONCEPT,disclose,none,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
Labs,ORG,disclose,none,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
This,CONCEPT,include,information,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
information,CONCEPT,include,information,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
information,CONCEPT,withhold,information,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
investments,CONCEPT,strain,grid,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
grid,CONCEPT,strain,grid,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
Openness,CONCEPT,guarantee,transparency,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
transparency,CONCEPT,guarantee,transparency,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
terms,CONCEPT,distinguish,terms,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
it,CONCEPT,disclose,information,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
information,CONCEPT,disclose,information,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
release,CONCEPT,guarantee,transparency,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
transparency,CONCEPT,guarantee,transparency,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
choice,CONCEPT,confer,transparency,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
weights,CONCEPT,release,weights,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
transparency,CONCEPT,confer,transparency,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
information,CONCEPT,share,information,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
governance,CONCEPT,ensure,governance,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
harms,CONCEPT,mitigate,harms,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
oversight,CONCEPT,promote,oversight,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
California,GPE,pass,laws,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
laws,CONCEPT,pass,laws,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
that,CONCEPT,mandate,transparency,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
transparency,CONCEPT,mandate,transparency,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
Ball,PERSON,propose,measures,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
measures,CONCEPT,propose,measures,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
state,CONCEPT,identify,state,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
more,CONCEPT,learn,more,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
reports,CONCEPT,explore,reports,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
report,CONCEPT,read,report,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
that,CONCEPT,describe,methods,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
methods,CONCEPT,describe,methods,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
AI,CONCEPT,use,AI,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
Mathematicians,CONCEPT,find,Glitches,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
Glitches,CONCEPT,find,Glitches,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
physicists,CONCEPT,put,touches,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
touches,CONCEPT,put,touches,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
way,CONCEPT,thread,way,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
They,CONCEPT,have,hunch,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
hunch,CONCEPT,have,hunch,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
equations,CONCEPT,predict,fluid,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
fluid,CONCEPT,predict,fluid,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
flow,CONCEPT,reverse,flow,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
mathematicians,CONCEPT,put,it,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
it,CONCEPT,put,it,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
problem,CONCEPT,solve,problem,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
They,CONCEPT,find,them,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
them,CONCEPT,find,them,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
we,CONCEPT,see,them,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
them,CONCEPT,see,them,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
who,CONCEPT,formulate,challenge,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
challenge,CONCEPT,formulate,challenge,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
group,CONCEPT,develop,way,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
way,CONCEPT,develop,way,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
machines,CONCEPT,train,machines,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
glitches,CONCEPT,spot,glitches,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
they,CONCEPT,reexamine,equations,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
equations,CONCEPT,reexamine,equations,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
singularity,CONCEPT,host,singularity,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
they,CONCEPT,find,scenarios,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
scenarios,CONCEPT,find,scenarios,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
assortment,CONCEPT,discover,assortment,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
They,CONCEPT,find,singularities,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
singularities,CONCEPT,find,singularities,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
success,CONCEPT,raise,hopes,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
singularities,CONCEPT,uncover,singularities,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
hopes,CONCEPT,raise,hopes,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
blowups,CONCEPT,find,blowups,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
idea,CONCEPT,prevent,discovery,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
discovery,CONCEPT,prevent,discovery,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
solution,CONCEPT,capture,slice,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
slice,CONCEPT,capture,slice,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
equations,CONCEPT,solve,equations,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
velocity,CONCEPT,tell,velocity,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
solution,CONCEPT,make,sense,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
that,CONCEPT,satisfy,equations,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
equations,CONCEPT,satisfy,equations,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
sense,CONCEPT,make,sense,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
equations,CONCEPT,tackle,equations,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
solution,CONCEPT,find,solution,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
computer,CONCEPT,use,computer,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
motion,CONCEPT,simulate,motion,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
sense,CONCEPT,get,sense,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
blowup,CONCEPT,produce,blowup,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
you,CONCEPT,identify,conditions,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
conditions,CONCEPT,identify,conditions,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
knowledge,CONCEPT,use,knowledge,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
That,CONCEPT,’,approach,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
that,CONCEPT,take,that,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
Hou,PERSON,take,that,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
they,CONCEPT,simulate,liquid,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
liquid,CONCEPT,simulate,liquid,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
They,CONCEPT,set,half,CARDINAL,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
half,CARDINAL,set,half,CARDINAL,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
scenario,CONCEPT,evolve,scenario,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
equations,CONCEPT,use,equations,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
It,CONCEPT,take,Hou,PERSON,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
Hou,PERSON,take,Hou,PERSON,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
decade,DATE,take,Hou,PERSON,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
alleged,CONCEPT,remove,alleged,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
they,CONCEPT,use,computer,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
computer,CONCEPT,use,computer,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
candidate,CONCEPT,imply,existence,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
existence,CONCEPT,imply,existence,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
frontier,CONCEPT,push,frontier,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
adjustments,CONCEPT,affect,fate,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
fate,CONCEPT,affect,fate,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
adjustment,CONCEPT,prevent,fluid,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
fluid,CONCEPT,prevent,fluid,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
Finite,CONCEPT,go,Finite,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
candidate,CONCEPT,track,candidate,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
you,CONCEPT,need,stroke,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
stroke,CONCEPT,need,stroke,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
pen,CONCEPT,balance,pen,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
it,CONCEPT,keep,it,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
fluid,CONCEPT,evolve,fluid,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
deviation,CONCEPT,tip,it,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
it,CONCEPT,tip,it,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
They,CONCEPT,introduce,errors,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
errors,CONCEPT,introduce,errors,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
that,CONCEPT,stop,singularity,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
singularity,CONCEPT,stop,singularity,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
way,CONCEPT,work,way,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
ones,CONCEPT,find,ones,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
they,CONCEPT,use,network,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
network,CONCEPT,use,network,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
function,CONCEPT,perform,task,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
task,CONCEPT,perform,task,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
you,CONCEPT,calibrate,network,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
network,CONCEPT,calibrate,network,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
thousands,CARDINAL,use,thousands,CARDINAL,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
images,CONCEPT,take,images,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
them,CONCEPT,label,them,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
data,CONCEPT,study,data,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
it,CONCEPT,take,equation,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
equation,CONCEPT,take,equation,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
itself,CONCEPT,adjust,itself,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
it,CONCEPT,represent,function,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
function,CONCEPT,represent,function,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
that,CONCEPT,solve,equation,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
equation,CONCEPT,solve,equation,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
It,CONCEPT,take,equations,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
equations,CONCEPT,take,equations,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
itself,CONCEPT,train,itself,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
that,CONCEPT,capture,history,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
history,CONCEPT,capture,history,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
that,CONCEPT,contain,singularity,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
singularity,CONCEPT,contain,singularity,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
technique,CONCEPT,render,nature,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
nature,CONCEPT,render,nature,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
simulation,CONCEPT,play,simulation,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
You,CONCEPT,represent,quantity,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
quantity,CONCEPT,represent,quantity,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
you,CONCEPT,see,change,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
change,CONCEPT,see,change,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
fluid,CONCEPT,approach,singularity,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
singularity,CONCEPT,approach,singularity,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
simulation,CONCEPT,reach,destination,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
destination,CONCEPT,reach,destination,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
program,CONCEPT,crash,program,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
inconvenience,CONCEPT,sidestep,inconvenience,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
mathematicians,CONCEPT,focus,search,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
search,CONCEPT,focus,search,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
curve,CONCEPT,stretch,curve,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
curve,CONCEPT,match,curve,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
singularity,CONCEPT,catch,singularity,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
that,CONCEPT,neutralize,steepening,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
steepening,CONCEPT,neutralize,steepening,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
that,CONCEPT,handle,that,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
computer,CONCEPT,handle,that,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
solutions,CONCEPT,find,solutions,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
networks,CONCEPT,determine,rate,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
rate,CONCEPT,determine,rate,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
PINN,CONCEPT,turn,candidates,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
candidates,CONCEPT,turn,candidates,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
Buckmaster,PERSON,use,PINN,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
PINN,CONCEPT,use,PINN,CONCEPT,https://www.quantamagazine.org/using-ai-mathematicians-find-hidden-glitches-in-fluid-equations-20260109/
